Resource Title,Listing Description (HTML),Categories (Slug-Based),Email,Fax,Mobile Phone,Phone,Website,Facebook,Twitter,Times Accessed (As of 3.14.2023)
"Property Owners' Association of Deep Creek Lake, Inc.","The Property Owners' Association of Deep Creek Lake, Inc. was granted a corporate charter by the State of Maryland in 1949 and grew out of 'Deep Creek Lake Association', founded sometime prior to 1938. It was formed to serve as the representative organization for lake residents. time that service has taken many forms including advocating for the members with county, state and federal officials, representing members' interests on various community leadership boards, contributing to community initiatives, providing legal interventions and always maintaining communication with the membership on issues of importance for quality of life at the lake and the entire watershed.

The POA is now a not for profit corporation which is an open, democratic institution and holds membership meetings twice a year that are open to the public as well as Board meetings that are open to the POA membership. The directors volunteer their services, and 100% of the membership dues directly support the POA mission. The Board is elected by the members and over the years the leadership of the POA has forged long term and close working relationships with all of the entities having any responsibility for Deep Creek Lake.

The last decade has seen numerous changes to the lake area and the POA has played a significant role in those changes. The state agency having the largest responsibility in relation to Deep Creek Lake is the Department of Natural Resources. For many years prior to the State's acquisition of the lake, the POA had a designated member on a DNR advisory body pertaining to the governance of the lake. The role of that body, however, was changed dramatically in connection with the acquisition of Deep Creek Lake by the State of Maryland. Prior to the acquisition of the lake, the advisory committee was just that, i.e., advisory, and it had no real role other than that of an advisor. When the process began for acquiring Deep Creek Lake (a process prompted by the POA's proposal to the Maryland General Assembly that a special taxing district be created to acquire the lake), the POA worked with DNR officials and State legislators to establish a new Policy and Review Board which, by statute, includes the POA President or designee as a board member. Of greater importance, however, is the fact that the legislation adopted contemporaneously with the acquisition of Deep Creek Lake provided that no regulation affecting the lake, nor any fee, may be established without the review and approval of the Policy and Review Board.

The POA also worked closely with DNR officials in connection with the acquisition of the lake and, working with the late Eugene Lynch, Secretary of the Department of General Services, we were able to negotiate conditions under which property owners could ""buy down"" excess land between their property and the buffer strip. Also of importance is the fact that the POA was successful in convincing the State to include in the buy down process the right of a property owner, whose well or septic system later fails, to extend a septic system into the buy down parcel subject, however, to ordinary Health Department approvals.

The POA has also worked diligently to establish good working relationships with the County Commissioners. POA officers meet on a regular basis with the County Commissioners, and a number of past and present Board members have served the county government in a variety of capacities to foster a close and respectful relationship. Members of the POA board of directors serve on many other boards and organizations such as Garrett Zoning and Planning Commission, DNR's Water Quality Study Work Group, Emergency Planning Committee, Chamber of Commerce, Garrett College Foundation and many other non profit boards in the area. POA board members are involved not only as board members but also as active community volunteers.

The POA has hosted two Workshops, one in December 2010 and the other in December 2011. The purpose of these successful gatherings was to bring together representatives of those organizations who care about a healthy lake and to improve communication between and among these groups. The North American Lake Management Society, NALMS, is the leading national association addressing the issues facing all who advocate for healthy lakes. As a member, the POA has access to their years of expertise and guidance on the issues facing Deep Creek Lake. It has provided funding for the annual fireworks display, the purchase of defibrillators for all Sheriff's Department cruisers, the cell phones for use by the NRP, for the gypsy moth spraying and to the cost of Phase II of the DNR Sedimentation Study of the lake.

The POA board of directors seeks to maintain open communication and cooperation with local and state officials. In preparation for the 2010 elections, we drew up a series of questions for the candidates that covered issues of particular concern to our membership. The responses were shared with the membership to help them make informed decisions in supporting candidates. To establish our connection with the newly elected county commissioners, we held a “getting to know you” social for them during the winter holiday week.

Throughout the years, the major function of the POA continues to be keeping our membership informed on issues affecting property owners. In the past decade we have added to the traditional printed newsletter, The Deep Creek Dispatch, with the electronic eDispatch. The move into the information age technology has enabled us to provide ongoing communication beyond our quarterly newsletters. We now send eBlasts to our members for timely notices and updates. r These communications allow us to alert members on urgent matters as well as provide rumor control on others. In addition to email communications, the POA has this website. The site contains answers to FAQs about lake use, regulations, resources and specific functions of the POA.

The POA is the oldest and largest organization advocating for the interests of the stake holders of Deep Creek Lake. There are other organizations that have an interest in Deep Creek Lake, and the more organizations cooperating and advocating for the lake, the better.

We welcome your comments and suggestions.",clubs-and-organizations,dclake@deepcreeklakepoa.com,,,301.387.4839,http://deepcreeklakepoa.com/,https://www.facebook.com/Property-Owners-Association-of-Deep-Creek-Lake-Inc-606717199381910/,,3041
Garrett College Continuing Education & Workforce Development,"Garrett College Continuing Education &amp; Workforce Development division offers courses in health, wellness, business, computers, personal and special interests. Also, we offer training for professional certifications such as EMT, paramedic, commercial truck driving, welding, machining, medical coding and more.

We can also offer courses in almost any subject area desired by local businesses, agencies and groups.

Please view our current course schedule online at http://www.garrettcollege.edu/schedule or contact us if we may be able to prepare a specialized class or training.",education,sarah.myers01@garrettcollege.edu,,,(301) 387-3069,http://www.garrettcollege.edu/cewd,https://www.facebook.com/GC.CEWD/,,3595
Boy Scout Troop 22 Oakland MD,"Welcome to Boy Scout Troop 22 - Oakland,MD of Laurel Highland Council - Potomac District. Very active Troop always welcoming new Scouts and parents.",clubs-and-organizations,chip@humberson.com,,,(301) 501-6975,,https://www.facebook.com/Boy-Scout-Troop-22-Oakland-MD-517563938274885/,,3853
Oakland B&O Museum,"The Past…

It began with a vision by primarily two men, John Work Garrett who was ultimately the President of the B&amp;O and E. Francis Baldwin who was the primary architect of the B&amp;O buildings. These men built many of the B&amp;O buildings from the Central Building and Camden Station in Baltimore, to the station in Parkersburg, WV.

Mr. Garrett became the president of the B&amp;O in 1858 after a acrimonious stockholders fight. Mr. Garrett was bound to stockholders with a promise of a good return on their investments and caught in a race to see to see which would be the major railroad line to the west, the B&amp;O or the Pennsylvania Railroad. The Railroads were trying to provide the fastest and most convenient service at the cheapest rates.

John also got caught up in the Civil War with promises to dedicate the railroad to the Union and promised President Lincoln that trains would serve the Northern cause. Mr. Garrett was powerful in Annapolis, the halls of Baltimore and very influential in the development of Western Maryland.

When the last county in Maryland was granted the right to govern itself, they decided to take his name. He rewarded it with a beautiful train station, a church and several hotels. The railroad helped vacationers to reach these southern destinations. Mr. Garrett died in September of 1884 in his cottage in Deer Park, the same year the Oakland Station was begun.

The Present…

With strong support from the community, the B&amp;O Committee and under the leadership of the Mayor and Town Council of Oakland, the 1884 B&amp;O Railroad Station has undergone a complete, historically-accurate restoration.

The exterior renovations included the repair of historic windows, roof shingles, gutters and general painting. Interior renovations included the addition of a central air system, humidity controls, ultraviolet light filters, refinished floors, painting and upgrades to the heating and security systems.

The B&amp;O Museum Committee has been busy building partnerships with a variety of organizations, local governments as well as private foundations in order to preserve the train station. Additionally, the museum received a project grant from the Maryland Heritage Area s Authority Financing Fund through the Mountain Maryland Gateway to the West Area for the upcoming exhibit space that is needed.

The Future…

It began with a vision long ago and now it is looked upon with a new vision, it includes preserving the past and educating a new generation.

The B&amp;O Train Station is going to house the B&amp;O Museum. It’s Queen Anne style architecture is the centerpiece of Oakland’s history and it is one of the most distinguished, historic depots in the country.

In 1974, the Station itself was added to the National Register of Historic Places.

The Museum will feature many local artifacts. It will also feature rotating exhibits and artifacts from the B&amp;O Railroad Museum in Baltimore, MD which is an independent nonprofit education institution and it possesses the oldest, most historic and most comprehensive American railroad collections in the world.

It is in integral part of Garrett County and in particular Oakland’s history. It will also become part of the local Main Street Community and will contribute to the educational center in downtown Oakland. A portion of the museum will contain an educational center serving school aged children, the local community and visitors.

The opening of the B&amp;O Railroad Museum in Oakland will complete the third museum in downtown Oakland. The Garrett County Historical Society Museum and the newly completed Transportation Museum have been popular destinations for many visitors. This unique historic resource is a wonderful and treasured part of the county’s heritage.",business;arts,,,,(301) 334-3204,http://www.oaklandbandomuseum.org/,https://www.facebook.com/Oakland-BO-Museum-390391907750826/,,2700
Garrett County LandFill,"Garrett County Government
Solid Waste and Recycling Home

The Garrett County Department of Solid Waste and Recycling strives to provide an integrated, cost effective, and environmentally sound solid waste disposal system to all county residents, homeowners, and commercial enterprises. We provide a service to the community and develop strong, cooperative relationships with businesses, independent haulers, municipalities, contractors, regulatory authorities, and the general public. We continually find ways to educate people of all ages about the importance of reducing the amount of waste generated in each household and reusing materials or donating them to those in need. Reducing the amount of merchandise purchased or buying in bulk and composting are also activities that help to divert materials from the Landfill. The County promotes and encourages recycling efforts and will provide as many recycling opportunities as possible where economically feasible and not in conflict with private sector initiatives.

Garrett County Solid Waste Disposal and Recycling Facility, also known as the County Landfill, is located off Oakland Sang Run Road, 3.5 miles north of Oakland and 2 miles south of Bray School Road. The facility is available for use by all county residents, businesses, municipalities, visitors and private haulers collecting waste generated within the county.

The county also maintains six refuse &amp;recycling sites conveniently located throughout the county. These sites are available for use by homeowners to dispose of household waste, certain bulk items and recyclables. These sites are NOT available for trash disposal use by businesses, municipalities, or private haulers; however, Garrett County businesses and municipalities are encouraged to use the free recycling boxes at the landfill and the six refuse &amp; recycling sites.",government,dwbaker@garrettcounty.org,,,301.387.0322,https://www.garrettcounty.org/solid-waste-recycling,,,2408
Register of Wills/Orphan's Court,"Government
Honorable Rita L. Watson, Register
The Honorable Rita L. Watson was appointed by the Garrett County Orphans' Court on July 1, 2009, to the position of Register of Wills. Rita has served as Chief Deputy Register of Wills to the retiring Register of Wills, Joseph DiSimone, for 30 years. She is a member of the Maryland Register of Wills Association and an Associate member of the Judges of the Orphans' Court Association.

Rita has 30 years of training and experience in probate law and the Register of Wills computer system. She has given community presentations on Wills and Probate as well as participated in various classes on ethics training, state procurement and disposal, and other classes relating to all aspects of her position as Register of Wills. Rita has also served as PC Administrator for the Garrett County Register of Wills Office.

Rita is a native of Garrett County and a graduate of Southern Garrett High School. She is also a member of the Southern Garrett Republican's Club as well as other community programs.

""I look forward to providing the citizens of Garrett County the same efficient, accurate and caring service I have provided for the past 30 years.""",government,,,,301.334.1999,http://registers.maryland.gov/main/garrett.html,,,2629
Garrett County Board of Realtors,Serving Garrett County and surrounding areas,clubs-and-organizations,barbara.butler@gcbr.org,,,(301) 334-8405,http://www.gcbr.org,https://www.facebook.com/Garrett-County-Board-of-Realtors-144896295578150/,,3326
"County United Way, Inc.","County United Way, Inc serves 4 counties. They are:
Allegany County, MD
Garrett County, MD
Mineral County, WV
Hampshire County, WV",clubs-and-organizations,info@cuw.org,,,301-722-2700 or 1-877-597-2700,http://www.cuw.org,https://www.facebook.com/County-United-Way-Inc-199509240077861/,,2462
Garrett County Liquor Control Board,Government,government,,,,(301) 334-1925,,https://www.facebook.com/pages/Garrett-County-Liquor-Control-Board/100293263364029,,2141
Garrett County States Attorney,"LISA THAYER WELCH, State's Attorne",government,statesattorney@garrettcounty.org,,,301.334.1974,http://www.garrettcounty.org/states-attorney,,,3640
Safe Harbor Crisis House,"Safe Harbor/Compass House Residential Crisis Services offers intensive mental health and support services that are provided to an adult with mental illness who is experiencing or is at risk of a psychiatric crisis that would impair the client’s ability to function in the community and is designed to prevent a psychiatric inpatient admission, provide an alternative to psychiatric inpatient admission, shorten the length of inpatient stay, or reduce the pressure on general hospital emergency departments.

Safe Harbor/Compass House Residential Crisis Services is available 24 hours per day, 7 days per week, and operates in compliance with COMAR 10.21.26 as well as with all applicable regulations, policies and procedures established by Garrett County Lighthouse, Inc.

Safe Harbor/Compass House Residential Crisis Services are designed to avert or shorten the length of inpatient admissions; defuse a current crisis, evaluate the nature of the crisis, stabilize the client to the pre-crisis level of functioning and intervene to reduce the likelihood of crisis recurrence. Safe Harbor/Compass House staff will assist the client and members of the client’s natural support system to recognize and take preventive action to resolve situations that lead to crisis, as well as provide counseling, training, and support for crisis prevention, identification, and intervention for clients and, if appropriate, their families. Clients will be linked with services and supports in the community including, but not limited to, financial, educational, social, medical, and mental health resources that will enable the client to return to the client’s previous living situation or secure an alternative living situation and offer a home-like environment that provides goal-directed services to facilitate safe discharge from residential crisis services.

Safe Harbor/Compass House Residential Crisis Services assures that services are coordinated with, when appropriate:
(a) A client's custodial agents;
(b) Designated psychiatric emergency facilities;
(c) Psychiatric inpatient facilities;
(d) Psychiatric rehabilitation programs;
(e) Outpatient mental health clinics;
(f) Somatic care providers;
(g) Schools
(h) Other agencies involved with the client, including, but not limited to:
• Local departments of social services;
• Department of Juvenile Services;
• The local education authority;
•The local coordinating council (LCC)
• The local management board; and
• Criminal justice agencies
(i) Other public and private providers of mental health services to a client.",housing;ah,,,,301.334.1642,,,,4527
Partners After School Oakland,"Activities provided include recreation, homework assistance, service learning opportunities, mentoring, health improvement messages, field trips, and snacks. PAS@Oakland enrolls a maximum of 40 students and meets at Southern Middle School daily from mid September through the end of the school year.
The following students are eligible to enroll as space is available:
Broad Ford Elementary School – Grades 3-5
Yough Glades Elementary School – Grades 3-5
Southern Middle School – Grades 6-8",wellness-programs;children,,,,301-334-7730,http://garretthealth.org/partners-school-oakland/,,,2846
Healthy Communities • Healthy Youth,"Crellin Town Park event. Crellin Outreach Partnerships invites one and all to lend a hand in fixing up the park that everyone enjoys. Planning meeting and event dates are yet to be determined, call Kris at 301-334-7730 with questions or a pledge to help.
Literacy in the Laundromat. Friendsville, Grantsville, and Oakland public laundromats host a book station for children birth through fifth grade. Children and parents are encouraged to read while at the laundromat and even take a book home for later. Keep the exchange going by adding gently used books. Free. (301-334-7730)
Assets are qualities and experiences youth need to unleash their potential for growing into healthy, caring adults. For more information about Healthy Communities•Healthy YouthTM (HC•HY): Garrett County and about building assets in youth, call 301-334-7730 or 301-895-3111.
HC•HY Garrett County and some of the activities above are sponsored by Garrett County Partnership for Children and Families Inc./LMB (Local Management Board), Garrett County Health Department, the Garrett County Extension Service, and the Governor’s Office of Crime Control and Preventi",wellness-programs,kendra.mclaughlin@maryland.gov,,,301-334-7730,http://garretthealth.org/healthy-community-healthy-youth/,,,1376
Garrett County Local Management Board,"The Local Management Board (LMB) was established during the mid-1990's in an effort to change the way services were provided to children and families in their communities.  The LMB identifies priorities and targets resources within the Garrett County community with a focus to increase local authority to plan, implement, and monitor children and family services.

The LMB serves as the coordinator of collaboration for child and family services. They bring together local child-serving agencies, local child providers, clients of services, families, and other community representatives to empower local stakeholders in addressing the needs of and setting priorities for their communities.

Improving results for children, youth, and families is the goal of all Local Management Board activities.  Maryland established eight Child Well-Being Results, and all LMB programs, initiatives and partnerships are devoted to ensuring the following:
<ul>
 	<li>Babies Born Healthy</li>
 	<li>Children Enter School Ready to Learn *</li>
 	<li>Youth will Complete School</li>
 	<li>Communities are Safe for Children, Youth and Families</li>
 	<li>Healthy Children</li>
 	<li>Children are Successful in School *</li>
 	<li>Youth Have Opportunities for Employment or Career Readiness *</li>
 	<li>Families are Safe and Economically Stable *</li>
</ul>
&nbsp;

*Denotes Result area prioritized by Garrett County

&nbsp;",government;ah,gccsa.gchd@maryland.gov,,,301-334-7440,http://garretthealth.org/local-management-board/,,,4458
Summer Youth Employment Supplement,"The summer Youth Employment Supplement (S-YES) provides up to thirteen low-income Garrett County youth ages 14-24, with Summer employment and Educational opportunities. This supplemental funding expand the Western Maryland Consortium's Summer Youth Employment Program in Garrett County. Youth are employed for up to six weeks of supervised work experience with a optional week. Participants work in a variety of entry-level jobs at government agencies, hospital, summer camps, nonprofits, small businesses, law firms, museums, sports enterprises, and reatail organizations.This targeted at-risk youth prevention and diversion strategy is for transitional aged youth, 14-24. Eligible youth must meet economic guidelines, as well as have a barrier to entering employment and/or a barrier to completing their education. Barriers may include lack of transportation, documented disability or other special need, involvement with Juvenile justice System, or deficiency in basic literacy skills.",clubs-and-organizations;employment;youth-services,jwynn@westernmarylandconsortium.org,,,301.334.8445,,,,2340
Partners After School at Accident,"Activities provided include recreation, homework assistance, service learning opportunities, mentoring, health improvement messages, field trips, and snacks.
Students in third through fifth grades at Accident Elementary School are eligible to enroll in this program as space allows.",wellness-programs;children,,,,301-334-7730,,,,3061
Partner's After School Grantsville,"The Grantsville Partner’s After School Program offers afterschool care for children grades K-8. The program operates Monday through Friday from 3:00-6:00pm following the Board of Education schedule. Program components include: enrichment activities, homework assistance, tutoring, cultural enrichment, field trips, and recreational activities. Partner’s After School programs are funded by the Garrett County Local Management Board, Garrett County Commissioners, Governor’s Office for Children, and United Way of Garrett County.",wellness-programs,,,,301-895-5498,http://www.garrettcac.org/index.php/educationlifelonglearning/child-development/after-school-program,,,2091
Music At Penn Alps,"Looking for interesting classical or traditional music while in Garrett County, then Music at Penn Alps has an unusual offering: 10 to 12 (more or less) weekly concerts in the Great Hall or the Chapel on the grounds or Penn Alps and Spruce Forest. Prices for concerts are only $15 with those under 19 free!",arts,newsletter@musicatpennalps.org,,,301-729-4171,http://www.musicatpennalps.org,https://www.facebook.com/MusicAtPennAlps/,,1709
Wellspring Family Medicine,"Wellspring Family Medicine was established in 2004 through the vision of Dr. Kenneth Buczynski, MD.",hospitals-and-health-services,,,,(301) 334-7855,http://wellspringfm.com,https://www.facebook.com/wellspringfamilymed/,,3783
Garrett Medical Group Urgent Care,Garrett Medical Group Urgent Care,hospitals-and-health-services,,,,301-387-8718,http://garrettmedicalgroup.com/urgent.aspx,,,7157
GRMC Urgent Care,"Medical Associates of Grantsville is an urgent care center in Grantsville, MD located at 32 Corporate Dr., . They are open 7 days a week seeing walk-in patients in Grantsville. Medical Associates of Grantsville appears to be individually owned and operated and not part of a larger network of urgent care clinics. There are, however, 1 walk-in clinics within 20 miles of Grantsville in cities including La Vale and Lavale. Additionally, they have partnered with Garrett Regional Medical Center to better serve the patients in the Grantsville area.
As an urgent care center, Medical Associates of Grantsville provides non-emergent medical care most typically referred to as urgent care services. This category of medicine includes the treatment of allergies, asthma, broken bones and sprains, burns, cold and flu symptoms, ear, sinus and respiratory infections, insect and animal bites, stomach viruses, skin rashes and most other non-life threatening injuries, illnesses and conditions. Additionally common health assessments are typical service offerings including annual and school physicals and STD tests. While this urgent care does offer assistance with immediate health care needs, if you are suffering from a true medical emergency, go to the emergency room in Grantsville, MD or call 911 immediately.",hospitals-and-health-services,,,,301-895-8750,,,,5304
Wound Care Center,"Wound Care Services
Millions of Americans live with chronic wounds as a result of complications from diabetes, circulation disorders, pressure ulcers, and injuries. These patients need an experienced team of medical professionals to customize a plan of care for their unique situation.
The staff at the Wound Care Center identifies the causes of these conditions and establishes a plan of care that includes professionals from all scopes of practice. Our team includes physicians and nurses specially trained in the management of chronic wounds. The team then creates an individualized treatment plan using advanced techniques and therapeutic products to heal your wound. Your primary care physician remains an active member of the wound management team.
Pressure Ulcers
Diabetic Foot Ulcers
Venous Stasis Ulcers
Ischemic Ulcers
Post-Operative Wounds
Burns
Any Wound That Fails To Heal

Diabetic Education Program
The Outpatient Diabetic Education Program at Garrett Regional Medical Center provides comprehensive diabetic education to those diagnosed with diabetes. The program is instructed by a certified diabetic educator who works with your physician to develop a plan to keep your blood sugar under control. You will learn about management of your disease, healthy eating, activity, reducing risks, and monitoring. We can also assist with insulin adjustments, insulin pumps, or continuous glucose monitors. Call 301-533-4271 for more information.",hospitals-and-health-services;diabetes,,,,301-533-4270,https://www.gcmh.com/services-provided/wound-care/,,,4747
Veterans Clinic,"The Cumberland VA Community Based Outpatient Clinic (CBOC) follows the Department of Veterans Affairs (VA) Patient Aligned Care Team (PACT) model. PACT provides Veterans accessible, coordinated, comprehensive, patient-centered health care delivered by primary care providers with active involvement of other clinical and non-clinical staff.

Features

Primary care services for Veterans.
Behavioral health services
Handicapped accessible.
Women Veterans health care
Specialty care referrals to the Martinsburg VA Medical Center.
Prescriptions: Routine prescriptions processed through the mail or MyHealtheVet
Laboratory: Blood drawing services

Services Offered

Preventative health care and screening
Health promotion
Annual physicals
Cancer screening
Management of chronic illnesses such as diabetes and hypertension
Immunizations
Well woman care
Women’s health education and prevention
Mental health services
Grief counseling
Smoking cessation
Social work services
Psychiatric evaluations
Individual therapy
Medication management
Substance abuse counseling
Group therapy counseling
Tele-psychiatric services
Occupational therapy services
Physical therapy services
Parkinson’s Disease
Dietitian services
Health education and prevention
Pharmaceutical management
Anti-coagulation management
Tele-retina
Tele-rehab
Tele-dermatology
Tele-podiatry
Pain management
Advance directives services
Durable medical equipment evaluation
Hearing aid adjustment
Special Programs

Home Tele-health (HT)
Care coordination involving home tele-health technologies and focusing on supporting the care of Veterans in the home.
Clinical Video Technology (CVT)
Care coordination involving videoconferencing technologies with supportive peripheral devices between clinics and hospitals and hospitals and other hospitals, e.g., tele-mental health, tele-surgery.
Store and Forward Technology (SFT)
Care coordination involving store-and-forward based upon the national implementation of a primary care-based program will assess Veterans with diabetes for retinopathy using tele-retinal imaging that expedite referral for treatment and provides health information.
MOVE! Program
MOVE! Weight Management Program supported by VA's National Center for Health Promotion and Disease Prevention (NCP).",veterans;diabetes,,,,301-724-0061,https://www.martinsburg.va.gov/locations/cumberland.asp,,,3167
Louis A. Johnson VA Medical Center,The Louis A. Johnson VA Medical Center provides for the health care needs of Veterans in the Clarksburg area. Find more details of our services at our Web site http://www.clarksburg.va.gov/.,veterans,,,,(304) 623-3461,http://www.clarksburg.va.gov/,https://www.facebook.com/VAClarksburg/,,2376
AL-ANON Hotline,AL-ANON Hotline,hotlines;ah;alcoholism,,,,1-301-722-6110,,,,3882
Child Abuse Hotline,Child Abuse Hotline,hotlines;abused-persons,,,,1-301-533-3000,,,,1618
Suicide Hotline (Western Maryland),Suicide Hotline (Western Maryland),hotlines,,,,1-800-422-0009,,,,2696
Youth Crisis Hotline,Youth Crisis Hotline,hotlines;youth-services,,,,1-800-422-0009,,,,1819
Poison Center of Maryland,Poison Center of Maryland,hotlines;ah,,,,1-800-222-1222,,,,1794
Discovery Center l Deep Creek Lake State Park,Discovery Center l Deep Creek Lake State Park,natural-resources,,,,301-387-7067,,https://www.facebook.com/pg/Discovery-Center-l-Deep-Creek-Lake-State-Park-143728801418/about/?ref=page_internal,,2059
First Choice Physical Therapy,"Our focus is purely on patient needs and helping you become more active and able to live a normal, comfortable life. Patients who suffer from a variety of aches, pains and debilitating injuries can experience overall improvement in their quality of life with the proper care and therapy solutions. First Choice Physical Therapy can offer you just that! See below for a list of some of the services we are able to offer you to provide you with a path to better health and mobility.",physical-therapy,,,,301-334-1123,https://firstchoice-therapy.com/services/,,,2270
Natural Resources Police,The Maryland Natural Resources Police (NRP) is the enforcement arm of the Department of Natural Resources (DNR).,police,,,,301-387-0454,,,,3143
Division-Parole & Probation,Division-Parole &amp; Probation,probation-services,,,,301-334-8113,,,,5672
Department of Juvenile Justice,Provides case status information and monitors collections and disbursement of restitution in juvenile cases.,government,,,,301-334-1947,https://www.dpscs.state.md.us/victimservs/garrett.shtml,,,1679
Habitat Home Store,"About the Habitat Home Store:
Everything in the store is a first come first serve basis. We accept check or cash but no credit or debit. This site is not a selling site, we are just advertising what is in the store. There will be weekly or bi-weekly updates.

Store Policies

All Sales Are Final

No exchanges, refunds, or returns

Appliances Only

If the appliance does not work properly, return them within 10 days from the date of purchase, along with the receipt and we will issue a full refund.

Hold Policy

The Warehouse Store will hold sold items for 2 weeks max. If the items are not picked up after the 2 weeks, the item(s) will be placed back on the floor for sale, and the original sale will be treated as a donation to Garrett Count Habitat for Humanity.

Return Check Policy

Any check returned to Habitat for Humanity for uncollectible funds will be charged a $25 fee. If the uncollected funds and $25 fee are not paid upon request, Habitat for Humanity will prosecute.

General Information
Volunteers are always needed for ongoing Habitat projects. If you would like to have your name and address on our mailing list, please call our office at 301-533-0600, or drop us an email at habitat@garrettcac.org. Office hours are Monday-Friday, 8:00am - 4:00pm. If you would like to volunteer, please download a Waiver &amp; Release Form on the Downloads page under ""Documents"" and email it to the office or drop it off. Please call before you come to the site.",clubs-and-organizations,,,,(301) 533-2180,,https://www.facebook.com/pages/Garrett-County-Habitat-for-Humanity/145961715466943,,3486
Pick of the Litter Thrift Shop,"Pick of the Litter Thrift Shop features gently used household items, home accessories &amp; giftware, pet accessories, baby items, fashion accessories, &amp; more! Come to shop - Come to Donate - Come to Volunteer! All proceeds benefit HART for Animals!",clubs-and-organizations,,,,(240) 442-5370,http://www.hartforanimals.org,https://www.facebook.com/PickOfTheLitterThriftShop/,,4839
County Caravan,"We at County Caravan, LLC pride ourselves in being the premier transportation service of Garrett County, MD. Our trained and professional drivers provide convenient, efficient, affordable and clean non-emergency medical charter and shuttle services to get you where you need to go, safe and on time. Call us today to schedule your ride. We look foward to serving you!

SERVING GARRETT COUNTY &amp; SURROUNDING AREAS

County Caravan seats up to six in a clean, smoke-free, comfortable environment. All our vans have passed inspections, are equipped with all state-mandated safety features and are well-maintained with fully-stocked refreshments.
DOOR-TO-DOOR TRANSPORTATION TO MEET ALL YOUR NEEDS AT ANY TIME!

Medical &amp; Dental Appointments
Outpatient Surgeries
Dialysis Treatments
Grocery &amp; Shopping Trips
Hair &amp; Nail Appointments
Local Airport Pick Ups and Drop Offs
Church Functions
Social Outings
Errands
Pet Needs
Suggestions? We want to hear from you! County Caravan works closely with hospitals, insurance providers, long-term care facilities, healthcare networks and managed care organizations to determine how to best serve our clients in need of non-emergency medical transportation. Let us know how we can assist you!
All our drivers have:

A Clear Background Check
A Safe Driving Record
A Friendly, Helpful Demeanor
All our drivers are:

Licensed &amp; Insured
Certified in CPR",transportation,CountyCaravan@gmail.com,,,240-442-5374,http://www.countycaravan.net/,,,2211
Camp-Deep Creek,"A little bit of everything. Camp Deep Creek is located 1 mile from Deep Creek Lake &amp; Wisp Ski Resort. Camp Deep Creek has 18 Acres loaded with group outdoor activities and sports fields. Check out our group lodging setup with a Main Lodge sleeping a group of 24 and 2 cabin bunks provide lodging for 18 people each. We see the best of all 4 seasons in the mountains of Western Maryland at Deep Creek Lake. Check out our facility for boy scouts, girl scouts, church retreats, family reunions, summer sports camps, team building or another group event or retreat.",wellness-programs,campdeepcreek@gmail.com,,,(240) 321-0787,http://www.camp-deepcreek.com,https://www.facebook.com/campdeepcreek/,,2099
The Highland Thrift Shop,"The Highland Thrift Shop is supported by donations &amp; donates proceeds after costs to local organizations helping the poor and suffering in Garrett Co, MD",clubs-and-organizations,,,,(301) 895-3156,http://thehighlandthriftshop.blogspot.com,https://www.facebook.com/HighlandThriftShop/,,3050
Adventist HealthCare Behavioral Health & Wellness Services,"When children, adolescents or adults experience mental health symptoms that need immediate care, inpatient treatment can help. Adventist HealthCare’s inpatient programs stabilize behavioral health conditions so you, your loved one or your client stays safe, functions better and returns to the community as soon as possible.

SERVICES &amp; TREATMENTS
During inpatient care, each patient receives a personalized treatment plan that may include:

Individual therapy, including cognitive behavioral therapy (CBT)
Family and group meetings
Medication management
Education about mental health and/or substance abuse
Life skills training
Anger and stress management
Alcoholics Anonymous
Narcotics Anonymous
Family and caregiver education
Expressive therapy (art, music and movement)
Wellness activities
Play therapy
Spiritual care
Nutritional counseling
MULTIDISCIPLINARY TEAM
Trust the experts on Adventist HealthCare’s multidisciplinary behavioral health team to provide well-rounded care. Our professionals include board-certified psychiatrists (such as child and adolescent psychiatrists affiliated with Georgetown University Hospital), social workers, case managers, psychiatric nurses, therapists and chaplains.

INPATIENT PROGRAMS FOR ALL AGE GROUPS
Turn to us for excellent inpatient behavioral and mental health care for people at least 8 years old.",hospitals-and-health-services,,,,1-866-643-5499,http://www.adventisthealthcare.com/services/behavioral-health/acute-inpatient/#.WQx7XVXyu70,,,2895
Regional Institute for Children and Adolescents,"The John L. Gildner Regional Institute for Children and Adolescents (RICA) — Rockville is an

MCPS special education school for students with emotional disabilities, autism, specific learning

disabilities, and other health impairments, serving Montgomery County and several counties in the

state of Maryland. Clinical treatment services are provided by the Maryland Department of Health

and Mental Hygiene (DHMH). RICA provides an academic, behavioral, day and residential treatment program in

a highly structured, therapeutically integrated milieu. The program of studies used is the MCPS general

education curriculum. Students are expected to meet the graduation requirements for a Maryland

high school diploma or Maryland Certificate.

Vision Statement

The vision for JLG-RICA School is to provide quality education, care and support for all students who are admitted to the program. All JLG-RICA's students will learn and grow academically, socially and emotionally in a safe, secure and nurturing environment. JLG-RICA School staff will continue to foster the development of our students through a consistent academic and behavioral program, maintaining close working relationships among all stakeholders to prepare the students to become productive citizens of a changing global society.

Mission Statement

As educators who respect our students and their diverse backgrounds and needs, we will work to help them:",hospitals-and-health-services,,,,1-301-251-6900,http://www.montgomeryschoolsmd.org/schools/rica/,,,3673
